theta_center_deg,counts_per_1deg,sin_theta,counts_over_sin
0.5,220,0.008726535498373935,25210.46296562867
1.5,670,0.026176948307873153,25595.038509453996
2.5,1169,0.043619387365336,26800.009596856362
3.5,1583,0.06104853953485687,25930.186242967447
4.5,1995,0.07845909572784494,25427.26221214884
5.5,2501,0.09584575252022398,26094.00974208299
6.5,2907,0.11320321376790672,25679.48296909693
7.5,3228,0.13052619222005157,24730.668573844378
8.5,3746,0.14780941112961063,25343.447155169437
9.5,4091,0.16504760586067765,24786.787900779083
10.5,4538,0.18223552549214747,24901.840559049186
11.5,5091,0.1993679344171972,25535.70118927238
12.5,5625,0.21643961393810288,25988.773023817306
13.5,6297,0.2334453638559054,26974.191716597274
14.5,6473,0.25038000405444144,25852.703471450306
15.5,6648,0.26723837607825685,24876.66665828425
16.5,6701,0.28401534470392265,23593.795634477385
17.5,7141,0.3007057995042731,23747.46350676394
18.5,7430,0.31730465640509214,23415.981612681946
19.5,7911,0.3338068592337709,23699.333255641057
20.5,8025,0.35020738125946743,22914.993884878473
21.5,8030,0.3665012267242973,21909.88573700086
22.5,8292,0.3826834323650898,21668.04020950983
23.5,7992,0.3987490689252462,20042.680028171468
24.5,8336,0.414693242656239,20101.605578632847
25.5,8565,0.43051109680829514,19894.957559744296
26.5,8673,0.44619781310980877,19437.567251961373
27.5,8829,0.4617486132350339,19120.793754297567
28.5,9003,0.4771587602596084,18867.934008173143
29.5,8863,0.49242356010346716,17998.73263200023
30.5,8918,0.5075383629607041,17571.085558887047
31.5,9342,0.5224985647159488,17879.47495143587
32.5,9007,0.5372996083468239,16763.459083309124
33.5,9012,0.5519369853120581,16327.950907121634
34.5,9183,0.5664062369248328,16212.745201848238
35.5,9038,0.5807029557109398,15563.895294686434
36.5,9055,0.5948227867513413,15223.021379954862
37.5,8917,0.6087614290087207,14647.774275909753
38.5,8766,0.6225146366376195,14081.596614896776
39.5,8886,0.636078220277764,13969.979975292415
40.5,8476,0.6494480483301837,13051.082410352778
41.5,8512,0.6626200482157375,12845.974133925754
42.5,8555,0.6755902076156602,12663.001777649943
43.5,8234,0.6883545756937539,11961.85845311105
44.5,8072,0.7009092642998509,11516.469265195468
45.5,7952,0.7132504491541816,11148.95897987866
46.5,7669,0.7253743710122876,10572.47168699608
47.5,7761,0.7372773368101241,10526.567971800741
48.5,7458,0.7489557207890021,9957.865055284208
49.5,7475,0.7604059656000309,9830.275324183616
50.5,6920,0.77162458338772,8968.09167175392
51.5,6712,0.7826081568524139,8576.450349041997
52.5,6456,0.7933533402912352,8137.609904850267
53.5,6242,0.8038568606172173,7765.064037902554
54.5,5998,0.8141155183563192,7367.504813211061
55.5,5721,0.8241261886220157,6941.898072145756
56.5,5332,0.8338858220671682,6394.160757862742
57.5,5076,0.8433914458128857,6018.5576047757995
58.5,4787,0.8526401643540922,5614.326183691262
59.5,4451,0.8616291604415257,5165.795453950477
60.5,4369,0.8703556959398997,5019.7867611837755
61.5,4161,0.8788171126619654,4734.773526878871
62.5,3813,0.8870108331782217,4298.707363401363
63.5,3692,0.8949343616020251,4125.4422205791025
64.5,3439,0.9025852843498605,3810.1662630996025
65.5,3107,0.9099612708765432,3414.4310306823318
66.5,2877,0.917060074385124,3137.1990563747836
67.5,2648,0.9238795325112867,2866.174546374259
68.5,2546,0.9304175679820246,2736.4057683497954
69.5,2245,0.9366721892483976,2396.7830216048455
70.5,2026,0.9426414910921784,2149.279465359204
71.5,1778,0.9483236552061993,1874.8873237938997
72.5,1586,0.9537169507482269,1662.9671924733257
73.5,1367,0.958819734868193,1425.7111637235112
74.5,1221,0.963630453208623,1267.0832433059868
75.5,1068,0.9681476403781077,1103.1375334271281
76.5,919,0.9723699203976766,945.1135629783267
77.5,790,0.9762960071199334,809.1808163084623
78.5,703,0.9799247046208296,717.4020582244813
79.5,559,0.9832549075639546,568.5199185884974
80.5,486,0.9862856015372314,492.7578778829551
81.5,394,0.9890158633619168,398.37581437844045
82.5,303,0.9914448613738104,305.6145750557863
83.5,257,0.9935718556765875,258.66272130362637
84.5,186,0.9953961983671787,186.8602676051098
85.5,135,0.996917333733128,135.41744679518143
86.5,93,0.9981347984218669,93.17378789622468
87.5,63,0.9990482215818578,63.060019165289155
88.5,48,0.9996573249755573,48.01645403956166
89.5,7,0.9999619230641713,7.000266548700159
