mu_center,theta_center_deg,counts,dOmega_sr,cos_theta,I_m2_sr_s,I_cm2_sr_s
0.01,89.42703265514284,12,0.12566370614359174,0.01,2.6525823848649224,0.00026525823848649226
0.03,88.2808686791222,63,0.12566370614359174,0.03,4.642019173513614,0.00046420191735136135
0.05,87.13401601740114,79,0.1256637061435917,0.05,3.492566806738815,0.0003492566806738815
0.07,85.9860127819437,114,0.12566370614359174,0.07,3.599933236602394,0.0003599933236602394
0.09,84.83639290915363,217,0.12566370614359174,0.09,5.329725717737853,0.0005329725717737853
0.11,83.68468443064262,279,0.12566370614359165,0.11,5.606594586191771,0.0005606594586191771
0.13,82.53040768358306,350,0.12566370614359185,0.13,5.9513066327097555,0.0005951306632709755
0.15000000000000002,81.37307344132137,463,0.12566370614359165,0.15000000000000002,6.823031356624775,0.0006823031356624776
0.16999999999999998,80.21218094328603,598,0.12566370614359165,0.16999999999999998,7.775707187006003,0.0007775707187006003
0.19,79.04721580110888,721,0.12566370614359185,0.19,8.388210085471961,0.0008388210085471961
0.21000000000000002,77.87764775521089,922,0.12566370614359165,0.21000000000000002,9.705083170021664,0.0009705083170021664
0.22999999999999998,76.70292825279094,1023,0.12566370614359165,0.22999999999999998,9.831854274336296,0.0009831854274336296
0.25,75.52248781407008,1263,0.12566370614359185,0.25,11.167371840281312,0.0011167371840281313
0.27,74.33573314862649,1437,0.12566370614359185,0.27,11.764694095836077,0.0011764694095836078
0.29000000000000004,73.14204397750285,1727,0.12566370614359149,0.29000000000000004,13.163821203050945,0.0013163821203050945
0.31,71.94076950921645,2091,0.12566370614359185,0.31,14.910080018152009,0.0014910080018152008
0.33,70.73122450851623,2358,0.12566370614359185,0.33,15.79492238260475,0.001579492238260475
0.35,69.51268488527734,2741,0.12566370614359149,0.35,17.31125789741611,0.0017311257897416109
0.37,68.28438271673555,3214,0.12566370614359185,0.37,19.201350867017684,0.0019201350867017685
0.39,67.04550059860719,3414,0.12566370614359185,0.39,19.350248422924864,0.0019350248422924864
0.41000000000000003,65.79516519854168,3795,0.12566370614359149,0.41000000000000003,20.460467785695933,0.002046046778569593
0.43,64.53243985752763,4348,0.12566370614359185,0.43,22.35160505696254,0.002235160505696254
0.45,63.256316049597,4790,0.12566370614359185,0.45,23.52938819167216,0.002352938819167216
0.47,61.96570346511873,5181,0.12566370614359149,0.47,24.367073290753883,0.0024367073290753882
0.49,60.65941842497627,5686,0.12566370614359185,0.49,25.650652109425057,0.0025650652109425057
0.51,59.336170257614036,5946,0.12566370614359185,0.51,25.771658268638582,0.0025771658268638584
0.53,57.99454517223575,6744,0.12566370614359185,0.53,28.127383024416698,0.0028127383024416698
0.55,56.63298703076825,7276,0.12566370614359185,0.55,29.242711261025992,0.0029242711261025993
0.5700000000000001,55.249774246317536,8119,0.12566370614359113,0.5700000000000001,31.48584266479299,0.003148584266479299
0.59,53.84299179900117,8655,0.12566370614359185,0.59,32.42669567938683,0.003242669567938683
0.61,52.41049703514314,9399,0.12566370614359185,0.61,34.05959267123686,0.0034059592671236857
0.63,50.949877463846505,10108,0.12566370614359185,0.63,35.466008923564296,0.0035466008923564296
0.65,49.45839812649548,11167,0.12566370614359185,0.65,37.97613780998277,0.0037976137809982765
0.67,47.932935197504825,11758,0.12566370614359185,0.67,38.792367762738465,0.0038792367762738463
0.6900000000000001,46.36989113214569,12252,0.12566370614359185,0.6900000000000001,39.250530651407,0.0039250530651407
0.71,44.765084671328424,13106,0.12566370614359113,0.71,40.803691004741594,0.00408036910047416
0.73,43.11360594589871,14065,0.12566370614359185,0.73,42.58969319991449,0.00425896931999145
0.75,41.40962210927086,14733,0.12566370614359185,0.75,43.42277364023874,0.004342277364023874
0.77,39.646111146973716,15636,0.12566370614359185,0.77,44.88720581141546,0.004488720581141546
0.79,37.81448850601414,16598,0.12566370614359185,0.79,46.44257639661175,0.0046442576396611744
0.81,35.90406858331717,17741,0.12566370614359185,0.81,48.415086512231014,0.004841508651223101
0.8300000000000001,33.90126199686626,18653,0.12566370614359113,0.8300000000000001,49.677328539041795,0.00496773285390418
0.85,31.78833061705162,19925,0.12566370614359185,0.85,51.816376488660325,0.005181637648866032
0.87,29.541360500142794,20809,0.12566370614359185,0.87,52.871251768825786,0.005287125176882578
0.89,27.126753117273967,22061,0.12566370614359185,0.89,54.79271534878745,0.005479271534878745
0.91,24.494648471419676,22925,0.12566370614359185,0.91,55.687226348927005,0.005568722634892701
0.93,21.56518501524267,25303,0.12566370614359185,0.93,60.141838785158654,0.006014183878515865
0.95,18.194872338766785,27063,0.12566370614359113,0.95,62.97090972070153,0.006297090972070153
0.97,14.069867747572133,29489,0.12566370614359185,0.97,67.2010326007574,0.00672010326007574
0.99,8.109614455994183,29025,0.12566370614359185,0.99,64.80741053931338,0.006480741053931338
