theta_center_deg,Ieff_m2_sr_s_median,Ieff_m2_sr_s_mean,n_cells
3.0,515.8284877681714,515.8284877681714,1
9.0,498.19423138521336,500.5277484997581,4
11.0,485.30572667103536,485.0469721068864,4
15.0,479.15046987580513,479.4259909416696,4
17.0,469.3036090763866,475.74725217406444,8
21.0,428.9592246318627,431.1533640602355,8
23.0,418.2522636301769,420.7513481072782,8
25.0,398.85991933374714,401.2833428253299,8
27.0,381.3796473822672,379.0184974238356,4
29.0,365.95294400610095,365.4720697211024,12
31.0,360.72842661092136,362.4791499140771,8
33.0,320.50006255596816,320.0937185545943,15
35.0,304.03693841994095,300.6924577822749,13
37.0,277.6017547751933,286.872883881213,12
39.0,286.85499913132287,289.26787440309084,20
41.0,260.65235810056305,262.39966200138565,16
43.0,221.3698020991851,230.01003959347344,28
45.0,215.50501826725093,215.99624886536827,19
47.0,223.31047537933523,228.85757530101043,29
49.0,209.96744263756665,209.29967759777634,28
51.0,171.78859929113054,178.130197473581,44
53.0,183.55552648131305,176.25908129528662,48
55.0,157.73007362495014,159.02952393313277,48
57.0,134.8300658324267,142.25266758875028,65
59.0,125.30307128918489,128.84486105210445,80
61.0,100.59831975108301,105.18494744293203,95
63.0,97.06369667135246,105.10885012511642,91
65.0,85.15113028845101,98.94933121577336,56
67.0,72.37212248486163,84.74193500521984,15
