theta_center_deg,epsilon,epsilon_sigma_poisson,epsilon_fit,I_hat,I_clean
1.0,1.1841815871981924,0.011299977644245457,1.0979430172635183,3.0505555555555555,2.7784279398749394
3.0,,,1.095825106054249,,
5.0,,,1.0915963836071227,,
7.0,1.1214810880377295,0.005792539309635567,1.0852710306625484,2.8890335743680176,2.662038783624663
9.0,,,1.0768702704130437,,
11.0,1.0603842970651556,0.005914803913474974,1.0664223112481734,2.7476197719828668,2.5764837653921226
13.0,,,1.053962270826858,,
15.0,1.0017303025129627,0.005978162646367464,1.039532081833199,2.581193918961697,2.4830343998713325
17.0,1.011298599566548,0.004545219627496653,1.0231803798645573,2.519618797483381,2.462536271284747
19.0,,,1.0049623739958522,,
21.0,0.9587950304278169,0.005018218856015245,0.9849397006628708,2.1662830171143717,2.1994067409978975
23.0,0.9869512667691088,0.005434799815264177,0.9631802616108028,2.1273148607436796,2.208636270417336
25.0,0.9436374212253394,0.005982582483209691,0.9397580467636936,1.8883950528252615,2.009448133302449
27.0,,,0.9147529429877753,,
29.0,0.8865178535624304,0.004492918610455251,0.8882505298489494,1.6699284615764545,1.8800196627638721
31.0,0.8415484498334898,0.006844572338570625,0.8603418636050133,1.517589274151775,1.7639374978136657
33.0,0.8119128192384254,0.006192757767447866,0.831123250830293,1.3535427662968924,1.6285704496230855
35.0,0.8117281790778816,0.005670185365927675,0.8006960132491845,1.3115474191830845,1.6380091788653834
37.0,0.7368860734300031,0.007375871143413831,0.7691662455621876,1.0952526040874575,1.4239478271526727
39.0,0.7682154780779217,0.007711514425313017,0.7366445682920323,1.0928451331365803,1.48354468379564
41.0,0.7085044695187959,0.006128555349490029,0.7032458779699755,0.9484030860464355,1.3486080981862867
43.0,0.6762448204324057,0.006930469700388497,0.6690890973388884,0.8331959275437918,1.2452690244955273
45.0,0.6547644465147799,0.00928860705673887,0.6342969286915595,0.7635733187255873,1.2038105249866187
47.0,0.654592895216923,0.007246021166868154,0.5989956140189384,0.7015366134586531,1.1711882308314723
49.0,0.5929079470750628,0.010868529988973896,0.5633147063545173,0.60200449954601,1.0686823772840444
51.0,0.5940670293097492,0.007999497211227759,0.5273868576251122,0.541790037083872,1.0273104633733539
53.0,0.5487202597595721,0.010345848853871282,0.4913476295372202,0.4364826906639804,0.8883378374595686
55.0,0.5344104666142255,0.013168252811399805,0.4553353356614225,0.38648123606500934,0.8487837551715679
57.0,0.5148578011744075,0.01435152408406392,0.4194909251019313,0.332722995609928,0.7931589831867745
59.0,0.4660754011069489,0.015596618618696483,0.38395792122112676,0.26390347990872653,0.6873239626608462
61.0,0.45652649465000567,0.019627607038884495,0.34888243324071133,0.2279338795063833,0.6533257561555693
63.0,0.4292948844152708,0.032087006175085954,0.3144132648098582,0.1887599760443185,0.6003562736402699
65.0,0.7122099528180239,0.11404486486635838,0.28070215286533967,0.27040468170839843,0.9633153110803458
67.0,1.1680182060033146,0.47684143583152133,0.24790418405830478,0.3753810184834015,1.5142181642045776
69.0,,,0.21617845770464264,,
71.0,,,0.1856890990420596,,
73.0,,,0.15660678469963388,,
75.0,,,0.12911104379176253,,
77.0,,,0.10339378529358867,,
79.0,,,0.0796648718819375,,
