theta_center_deg,obs_sum,pred_sum,ratio,ratio_sigma_poisson
1.0,10982.0,9273.91551998687,1.1841815871981924,0.011299977644245457
3.0,,,,
5.0,,,,
7.0,37484.0,33423.65769679296,1.1214810880377295,0.005792539309635567
9.0,,,,
11.0,32140.0,30309.766080990117,1.0603842970651556,0.005914803913474974
13.0,,,,
15.0,28078.0,28029.500484873934,1.0017303025129627,0.005978162646367464
17.0,49505.0,48951.911948872774,1.011298599566548,0.004545219627496653
19.0,,,,
21.0,36505.0,38073.831049907894,0.9587950304278169,0.005018218856015245
23.0,32978.0,33414.01050931018,0.9869512667691088,0.005434799815264177
25.0,24879.0,26364.999352922998,0.9436374212253394,0.005982582483209691
27.0,,,,
29.0,38933.0,43916.76923769732,0.8865178535624304,0.004492918610455251
31.0,15117.0,17963.31512819146,0.8415484498334898,0.006844572338570625
33.0,17189.0,21170.992245353744,0.8119128192384254,0.006192757767447866
35.0,20494.0,25247.367934523427,0.8117281790778816,0.005670185365927675
37.0,9981.0,13544.834622184098,0.7368860734300031,0.007375871143413831
39.0,9924.0,12918.250521103648,0.7682154780779217,0.007711514425313017
41.0,13365.0,18863.677753617107,0.7085044695187959,0.006128555349490029
43.0,9521.0,14079.220590424728,0.6762448204324057,0.006930469700388497
45.0,4969.0,7588.988721744584,0.6547644465147799,0.00928860705673887
47.0,8161.0,12467.29083012054,0.654592895216923,0.007246021166868154
49.0,2976.0,5019.328910467842,0.5929079470750628,0.010868529988973896
51.0,5515.0,9283.464201687675,0.5940670293097492,0.007999497211227759
53.0,2813.0,5126.4737358750845,0.5487202597595721,0.010345848853871282
55.0,1647.0,3081.900716568335,0.5344104666142255,0.013168252811399805
57.0,1287.0,2499.7193342789233,0.5148578011744075,0.01435152408406392
59.0,893.0,1915.998994752967,0.4660754011069489,0.015596618618696483
61.0,541.0,1185.0352747100815,0.45652649465000567,0.019627607038884495
63.0,179.0,416.9628069149026,0.4292948844152708,0.032087006175085954
65.0,39.0,54.759133659516344,0.7122099528180239,0.11404486486635838
67.0,6.0,5.1369062307090205,1.1680182060033146,0.47684143583152133
69.0,,,,
71.0,,,,
73.0,,,,
75.0,,,,
77.0,,,,
79.0,,,,
