theta_center_deg,I_hat,I_hat_norm,I_arti_norm
1.0,3.0505555555555555,1.0,0.9876609754418898
3.0,,,0.9876609754418898
5.0,,,0.9876609754418898
7.0,2.8890335743680176,0.9470516178951797,0.9876609754418898
9.0,,,0.9894859108478687
11.0,2.7476197719828668,0.9006948806354326,0.9942708805784275
13.0,,,1.0
15.0,2.581193918961697,0.8461389645112101,0.9866334244938838
17.0,2.519618797483381,0.8259540767565263,0.9469215985929549
19.0,,,0.9074787154118332
21.0,2.1662830171143717,0.710127377673624,0.8717304201191343
23.0,2.1273148607436796,0.6973532597593559,0.8225923569937019
25.0,1.8883950528252615,0.6190331624632073,0.7746629588570652
27.0,,,0.7521699948530063
29.0,1.6699284615764545,0.5474178165794241,0.7179280805215575
31.0,1.517589274151775,0.4974796382213067,0.6887865870539356
33.0,1.3535427662968924,0.44370369319512043,0.6534878196153294
35.0,1.3115474191830845,0.4299372344799767,0.6178906838948252
37.0,1.0952526040874575,0.3590338166740892,0.5815892066012267
39.0,1.0928451331365803,0.3582446256867318,0.5437569880917371
41.0,0.9484030860464355,0.31089520212776983,0.5085692664368094
43.0,0.8331959275437918,0.27312924231994634,0.4801415111637966
45.0,0.7635733187255873,0.2503063146432448,0.44176636242450346
47.0,0.7015366134586531,0.22997011550274554,0.41018502862086426
49.0,0.60200449954601,0.19734257861643015,0.386082521527376
51.0,0.541790037083872,0.1776037273267109,0.34313461760402947
53.0,0.4364826906639804,0.14308301642599977,0.3094677474481641
55.0,0.38648123606500934,0.12669208248352154,0.27953437646500773
57.0,0.332722995609928,0.10906963979199971,0.2427348545807337
59.0,0.26390347990872653,0.08650997338111596,0.20917040372713216
61.0,0.2279338795063833,0.07471880952676925,0.1890232673288396
63.0,0.1887599760443185,0.061877245834961445,0.16564850033703746
65.0,0.27040468170839843,0.08864112676654838,0.14100821070576605
67.0,0.3753810184834015,0.12305332967949785,0.11664533023164016
69.0,,,0.10000478286688136
71.0,,,0.07822461609597751
73.0,,,0.06023507032649983
75.0,,,0.04558810625916882
77.0,,,0.033942966841998684
79.0,,,0.024810806049233494
