theta_deg,counts
0.5391896187895501,34
1.61756885636865,0
2.6959480939477505,0
3.7743273315268504,123
4.852706569105951,122
5.931085806685051,0
7.00946504426415,341
8.087844281843251,0
9.166223519422351,90
10.244602757001452,292
11.322981994580552,206
12.401361232159651,82
13.47974046973875,273
14.558119707317852,152
15.636498944896953,250
16.714878182476053,312
17.793257420055152,58
18.87163665763425,348
19.950015895213355,294
21.028395132792454,120
22.106774370371554,494
23.185153607950653,128
24.263532845529753,365
25.341912083108852,139
26.42029132068795,194
27.498670558267055,401
28.577049795846154,131
29.655429033425253,311
30.733808271004353,200
31.812187508583456,278
32.890566746162555,204
33.968945983741655,121
35.047325221320754,229
36.125704458899854,143
37.20408369647895,139
38.28246293405805,84
39.36084217163715,85
40.43922140921626,61
41.51760064679536,32
42.59597988437446,16
43.67435912195356,14
44.75273835953266,4
45.831117597111756,11
46.909496834690856,4
47.987876072269955,2
